Task Type,Feature Set,Num Features,Model,Accuracy,Train Time (s),Prediction Time (s),F1-Score (Binary),AUC-ROC (Binary),Specificity (Binary),F1-Score (Macro MC),AUC-ROC (Macro OvR MC)
multiclass,spearman_top_20_features,20,ANN (MLP),0.7136866545049634,50.086,0.029,,,,0.6617751571542981,0.9582028830012662
multiclass,spearman_top_20_features,20,XGBoost,0.7470681608187827,6.979,0.068,,,,0.7151809346064344,0.9657904512861825
multiclass,spearman_top_20_features,20,Gradient Boosting,0.7398659053756308,179.62,0.416,,,,0.7027206401059903,0.9639532597746732
multiclass,chi2_top_10_features,10,Logistic Regression,0.3279632305906323,61.605,0.006,,,,0.24703914337076682,0.8113787738442276
multiclass,chi2_top_10_features,10,KNN,0.9642967139709541,0.758,5.108,,,,0.9288613797621471,0.9868692296622728
multiclass,chi2_top_10_features,10,Decision Tree,0.9660498945722477,0.934,0.008,,,,0.9346019877385287,0.97789930693886
multiclass,chi2_top_10_features,10,Random Forest,0.9676135421355635,5.602,0.095,,,,0.9404036507497795,0.9941803885522905
multiclass,chi2_top_10_features,10,Naive Bayes,0.18709280011371981,0.09,0.035,,,,0.1127452932877967,0.6855883793818766
multiclass,chi2_top_10_features,10,ANN (MLP),0.8063446184463029,69.131,0.04,,,,0.7463185167738813,0.9682144754875148
multiclass,chi2_top_10_features,10,XGBoost,0.9679215333222773,6.32,0.066,,,,0.9382981908134317,0.9984707943292198
multiclass,chi2_top_10_features,10,Gradient Boosting,0.9604349783221587,270.988,0.436,,,,0.9187457908621497,0.9971403931081637
multiclass,chi2_top_15_features,15,Logistic Regression,0.5005804449288066,350.914,0.009,,,,0.4122968843548135,0.846752978552947
multiclass,chi2_top_15_features,15,KNN,0.9642730223412068,2.088,13.981,,,,0.930169384285547,0.9859906782987491
multiclass,chi2_top_15_features,15,Decision Tree,0.965978819683006,1.769,0.01,,,,0.9341830011576169,0.9784563448636951
multiclass,chi2_top_15_features,15,Random Forest,0.9679689165817716,12.515,0.232,,,,0.9399599839685353,0.9947063688831275
multiclass,chi2_top_15_features,15,Naive Bayes,0.1856713023288872,0.176,0.069,,,,0.10413935655227106,0.7450648085558054
multiclass,chi2_top_15_features,15,ANN (MLP),0.858963728114857,97.029,0.037,,,,0.8038729028670893,0.980138878528404
multiclass,chi2_top_15_features,15,XGBoost,0.9690587315501433,8.57,0.068,,,,0.938632116020204,0.9984357105001994
multiclass,chi2_top_15_features,15,Gradient Boosting,0.9615484849202777,313.655,0.441,,,,0.921623901714435,0.9973540374484873
multiclass,chi2_top_20_features,20,Logistic Regression,0.5760619773034187,413.513,0.008,,,,0.47156952825265097,0.9313383501665408
multiclass,chi2_top_20_features,20,KNN,0.965647136866545,0.053,8.792,,,,0.9337235478553392,0.9883077754628751
multiclass,chi2_top_20_features,20,Decision Tree,0.967210784429861,1.047,0.008,,,,0.9357821456884702,0.9786596056235041
